날짜,시간,경기,구장,예측_승패,득점0,득점1,예측_시나리오0,예측_시나리오1
03.22(토),14:00,롯데vsLG,잠실,44;56,2,12,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.22(토),14:00,두산vsSSG,문학,55;45,5,6,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.22(토),14:00,키움vs삼성,대구,60;40,5,13,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.22(토),14:00,한화vsKT,수원,55;45,4,3,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.22(토),14:00,NCvsKIA,광주,60;40,2,9,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.23(일),14:00,롯데vsLG,잠실,44;56,2,10,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.23(일),14:00,두산vsSSG,문학,55;45,2,5,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.23(일),14:00,키움vs삼성,대구,60;40,7,11,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.23(일),14:00,한화vsKT,수원,55;45,4,5,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.23(일),14:00,NCvsKIA,광주,60;40,5,4,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.25(화),18:30,한화vsLG,잠실,44;56,0,5,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.25(화),18:30,롯데vsSSG,문학,55;45,3,2,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.25(화),18:30,NCvs삼성,대구,60;40,5,14,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.25(화),18:30,두산vsKT,수원,55;45,3,8,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.25(화),18:30,키움vsKIA,광주,60;40,6,11,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.26(수),18:30,한화vsLG,잠실,44;56,0,4,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.26(수),18:30,롯데vsSSG,문학,55;45,1,3,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.26(수),18:30,NCvs삼성,대구,60;40,8,6,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.26(수),18:30,두산vsKT,수원,55;45,3,2,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.26(수),18:30,키움vsKIA,광주,60;40,17,10,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.27(목),18:30,한화vsLG,잠실,44;56,1,2,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
03.27(목),18:30,롯데vsSSG,문학,55;45,2,5,1;1;1;1;1;0;0;0;0,1;1;1;1;1;1;1;0;0
