backnumber,player_id,team_id,position,birthday,profile
66,Brady Basso,OAK,Pitcher,10/08/1997,"188cm, 97kg"
25,Brent Rooker,OAK,Outfielder,11/01/1994,"190cm, 102kg"
11,Brett Harris,OAK,Third Base,06/24/1998,"188cm, 94kg"
26,Carlos Cortes,OAK,Outfielder,06/30/1997,"170cm, 89kg"
32,Colby Thomas,OAK,Outfielder,01/26/2001,"178cm, 86kg"
2,Darell Hernaiz,OAK,Third Base,08/03/2001,"183cm, 86kg"
61,Elvis Alvarado,OAK,Pitcher,02/23/1999,"193cm, 83kg"
36,Hogan Harris,OAK,Pitcher,12/26/1996,"190cm, 104kg"
70,J.T. Ginn,OAK,Pitcher,05/20/1999,"188cm, 91kg"
33,JJ Bleday,OAK,Outfielder,11/10/1997,"188cm, 93kg"
5,Jacob Wilson,OAK,Shortstop,03/30/2002,"188cm, 86kg"
59,Jeffrey Springs,OAK,Pitcher,09/20/1992,"190cm, 99kg"
60,Justin Sterner,OAK,Pitcher,08/29/1996,"185cm, 98kg"
4,Lawrence Butler,OAK,Outfielder,07/10/2000,"190cm, 95kg"
58,Luis Morales,OAK,Pitcher,09/24/2002,"190cm, 91kg"
40,Luis Severino,OAK,Pitcher,02/20/1994,"188cm, 99kg"
63,Mason Barnett,OAK,Pitcher,11/07/2000,"183cm, 99kg"
12,Max Schuemann,OAK,Third Base,06/11/1997,"183cm, 84kg"
49,Michael Kelly,OAK,Pitcher,09/06/1992,"193cm, 84kg"
28,Mitch Spence,OAK,Pitcher,05/06/1998,"185cm, 84kg"
16,Nick Kurtz,OAK,First Base,03/12/2003,"196cm, 109kg"
45,Osvaldo Bido,OAK,Pitcher,10/18/1995,"190cm, 79kg"
31,Sean Newcomb,OAK,Pitcher,06/12/1993,"196cm, 116kg"
23,Shea Langeliers,OAK,Catcher,11/18/1997,"183cm, 93kg"
44,Tyler Ferguson,OAK,Pitcher,10/05/1993,"193cm, 102kg"
21,Tyler Soderstrom,OAK,Outfielder,11/24/2001,"188cm, 91kg"
65,Willie MacIver,OAK,Catcher,10/28/1996,"188cm, 93kg"
20,Zack Gelof,OAK,Second Base,10/19/1999,"188cm, 93kg"
29,Alexander Canario,PIT,Outfielder,05/07/2000,"185cm, 98kg"
