날짜,시간,경기,구장,득점0,득점1
03.27(Thu),04:05,NYYvsMIL,Yankee Stadium,4,2
03.27(Thu),04:07,TORvsBAL,Rogers Centre,2,12
03.27(Thu),05:05,TEXvsBOS,Globe Life Field,2,5
03.27(Thu),05:05,WSHvsPHI,Nationals Park,3,7
03.27(Thu),05:10,KCvsCLE,Kauffman Stadium,4,7
03.27(Thu),05:10,HOUvsNYM,Daikin Park,3,1
03.27(Thu),05:10,CINvsSF,Great American Ball Park,4,6
03.27(Thu),05:10,SDvsATL,Petco Park,7,4
03.27(Thu),05:10,CWSvsLAA,Rate Field,8,1
03.27(Thu),05:10,MIAvsPIT,loanDepot park,5,4
03.27(Thu),05:15,STLvsMIN,Busch Stadium,5,3
03.27(Thu),08:10,LADvsDET,Dodger Stadium,5,4
03.27(Thu),11:10,ARIvsCHC,Chase Field,6,10
03.27(Thu),11:10,SEAvsOAK,T-Mobile Park,4,2
03.28(Fri),05:10,TBvsCOL,George M. Steinbrenner Field,3,2
03.28(Fri),08:07,TORvsBAL,Rogers Centre,8,2
03.28(Fri),08:10,MIAvsPIT,loanDepot park,3,4
03.28(Fri),09:05,TEXvsBOS,Globe Life Field,4,1
03.28(Fri),09:10,HOUvsNYM,Daikin Park,1,3
03.28(Fri),10:40,ARIvsCHC,Chase Field,8,1
03.28(Fri),10:40,SEAvsOAK,T-Mobile Park,0,7
03.28(Fri),10:40,SDvsATL,Petco Park,4,3
03.28(Fri),11:10,LADvsDET,Dodger Stadium,8,5
03.29(Sat),02:05,NYYvsMIL,Yankee Stadium,20,9
03.29(Sat),03:10,CWSvsLAA,Rate Field,0,1
03.29(Sat),03:15,STLvsMIN,Busch Stadium,5,1
03.29(Sat),04:07,TORvsBAL,Rogers Centre,5,9
03.29(Sat),05:05,WSHvsPHI,Nationals Park,6,11
03.29(Sat),05:10,KCvsCLE,Kauffman Stadium,4,3
03.29(Sat),05:10,CINvsSF,Great American Ball Park,3,2
03.29(Sat),05:10,TBvsCOL,George M. Steinbrenner Field,1,2
03.29(Sat),05:10,MIAvsPIT,loanDepot park,5,4
03.29(Sat),08:05,TEXvsBOS,Globe Life Field,4,3
03.29(Sat),08:15,HOUvsNYM,Daikin Park,2,1
03.29(Sat),08:15,SDvsATL,Petco Park,1,0
